model,feature_space,k,train_accuracy,accuracy,precision,recall,f1,train_mse,val_mse
KNN,original,1,1.0,0.7995004163197336,0.6235632183908046,0.5607235142118863,0.5904761904761905,0.0,0.20049958368026644
KNN,original,3,0.9025443385790244,0.8194837635303913,0.7056737588652482,0.5142118863049095,0.5949177877428998,0.09745566142097561,0.18051623646960868
KNN,original,5,0.8822752738821682,0.8274771024146544,0.7544731610337972,0.4903100775193798,0.5943617854346124,0.1177247261178318,0.17252289758534556
KNN,original,7,0.868714984120187,0.828143213988343,0.776824034334764,0.46770025839793283,0.5838709677419355,0.131285015879813,0.171856786011657
KNN,original,9,0.8601149056132462,0.8284762697751873,0.7977011494252874,0.4483204134366925,0.5740281224152192,0.13988509438675378,0.1715237302248127
KNN,original,11,0.8525140063519252,0.8306411323896753,0.824969400244798,0.4354005167958656,0.5699788583509514,0.1474859936480748,0.1693588676103247
KNN,original,15,0.8463761909859758,0.8288093255620317,0.8532608695652174,0.40568475452196384,0.5499124343257443,0.15362380901402417,0.17119067443796832
KNN,poly_deg2,1,1.0,0.8028309741881765,0.6372549019607843,0.5458656330749354,0.5880306193458594,0.0,0.1971690258118235
KNN,poly_deg2,3,0.903793312636049,0.8223147377185679,0.72330547818013,0.5032299741602068,0.5935238095238096,0.096206687363951,0.1776852622814321
KNN,poly_deg2,5,0.8819541091246476,0.8264779350541216,0.7738095238095238,0.46188630490956073,0.5784789644012945,0.11804589087535244,0.1735220649458784
KNN,poly_deg2,7,0.8674660100631624,0.8256452955870108,0.8,0.4315245478036176,0.5606378514477549,0.13253398993683763,0.17435470441298917
KNN,poly_deg2,9,0.8575455875530814,0.8259783513738551,0.8212005108556832,0.41537467700258396,0.5516945516945517,0.1424544124469186,0.1740216486261449
KNN,poly_deg2,11,0.8502658530492809,0.8264779350541216,0.8446866485013624,0.4005167958656331,0.5433829973707275,0.14973414695071907,0.1735220649458784
KNN,poly_deg2,15,0.8397387859972165,0.8233139050791007,0.8775193798449612,0.36563307493540054,0.5161878704970361,0.16026121400278348,0.17668609492089926
KNN,poly_deg3,1,1.0,0.8031640299750208,0.6412037037037037,0.5368217054263565,0.5843881856540084,0.0,0.1968359700249792
KNN,poly_deg3,3,0.9039003675552225,0.8231473771856787,0.7387033398821218,0.48578811369509045,0.5861262665627436,0.09609963244477748,0.17685262281432135
KNN,poly_deg3,5,0.880705135067623,0.8276436303080766,0.7924743443557583,0.44896640826873385,0.5731958762886598,0.11929486493237695,0.17235636969192336
KNN,poly_deg3,7,0.8647539521107661,0.8243130724396336,0.8140127388535032,0.4127906976744186,0.5477925417916846,0.1352460478892339,0.1756869275603664
KNN,poly_deg3,9,0.8533704457053135,0.8211490424646128,0.8291666666666667,0.3856589147286822,0.5264550264550265,0.1466295542946865,0.17885095753538716
KNN,poly_deg3,11,0.845412696713414,0.817985012489592,0.8538102643856921,0.3546511627906977,0.5011410314924692,0.154587303286586,0.182014987510408
KNN,poly_deg3,15,0.8329943260892838,0.8121565362198169,0.875,0.3165374677002584,0.4648956356736243,0.1670056739107162,0.18784346378018313
KNN,kmeans_dist,1,1.0,0.7635303913405496,0.5437756497948016,0.5135658914728682,0.5282392026578073,0.0,0.23646960865945044
KNN,kmeans_dist,3,0.8866645255682832,0.7863447127393839,0.6114381833473507,0.46963824289405687,0.5312385823894775,0.11333547443171677,0.2136552872606161
KNN,kmeans_dist,5,0.8598294258287835,0.7950041631973356,0.6543330087633885,0.43410852713178294,0.5219417475728155,0.14017057417121648,0.20499583680266442
KNN,kmeans_dist,7,0.8459122863362238,0.7953372189841799,0.6728060671722643,0.4011627906976744,0.5026305139619587,0.15408771366377616,0.20466278101582014
KNN,kmeans_dist,9,0.8333154908468045,0.7968359700249792,0.6943127962085308,0.3785529715762274,0.4899665551839465,0.16668450915319555,0.2031640299750208
KNN,kmeans_dist,11,0.8249652071512686,0.7915070774354704,0.693717277486911,0.3423772609819121,0.458477508650519,0.17503479284873136,0.20849292256452956
KNN,kmeans_dist,15,0.8120472469043286,0.7908409658617819,0.7347266881028939,0.29521963824289404,0.42119815668202765,0.1879527530956714,0.20915903413821813
